"cluster","jumlahanggota"
1 - Drinks and Processed Fruits,52
2 - Processed Milks and Flavoring Powders,51
3 - Processed Flours and Biscuits,55
4 - Noodles and Condiments,55
5 - Snacks and Condiments,54
