1	2	5
2	3	2
3	4	2
4	5	3
5	13	1
6	14	2
7	15	1
8	17	1
9	36	4
10	101	1
11	106	5
12	107	5
13	108	5
14	153	1
15	154	1
16	155	1
17	156	2
18	158	4
19	159	3
20	160	2
21	162	4
22	163	4
23	167	5
24	168	5
25	170	3
26	172	3
27	173	4
28	174	3
29	175	4
30	176	3
31	177	5
32	178	4
33	179	5
34	180	4
35	181	4
36	182	5
37	183	4
38	184	2
39	185	4
40	186	3
41	187	3
42	188	5
43	189	5
44	190	5
45	191	3
46	202	1
47	210	3
48	211	1
49	218	3
50	232	1
51	324	3
52	2	4
53	3	5
54	8	5
55	21	1
56	24	2
57	39	3
58	46	2
59	47	1
60	62	2
61	71	1
62	74	1
63	103	4
64	117	1
65	121	4
66	133	2
67	137	1
68	138	1
69	170	3
70	173	4
71	191	1
72	230	4
73	231	4
74	266	4
75	283	4
76	289	4
77	325	5
78	333	5
79	334	5
80	335	5
81	336	2
82	337	2
83	338	2
84	339	3
85	340	1
86	341	2
87	342	2
88	343	2
89	344	5
90	345	1
91	346	3
92	347	2
93	348	2
94	350	2
95	351	3
96	352	4
97	353	2
98	354	3
99	355	2
100	356	2
101	357	2
102	358	2
103	359	3
104	360	3
105	361	3
106	362	3
107	363	3
108	364	1
109	365	1
110	366	1
111	367	1
112	368	2
113	369	2
114	370	2
115	371	1
116	372	1
117	373	1
118	374	1
119	375	2
120	376	2
121	382	5
122	385	4
123	387	4
124	388	5
125	389	4
126	402	1
127	404	5
128	406	3
129	407	3
130	413	3
131	414	2
132	421	5
133	422	3
134	430	2
135	432	2
136	436	4
137	447	4
138	448	5
139	451	4
140	452	4
141	453	4
142	455	5
143	456	4
144	457	5
145	458	5
146	460	5
147	461	5
148	463	3
149	465	2
150	473	1
151	474	5
152	475	2
153	487	3
154	489	4
155	492	2
156	493	3
157	504	2
158	507	1
159	524	4
160	529	3
161	532	4
162	535	1
163	539	1
164	541	3
165	543	3
166	545	4
167	556	1
168	557	1
169	562	3
170	564	1
171	570	3
172	574	3
173	579	5
174	581	4
175	582	1
176	585	3
177	588	3
178	591	1
179	592	1
180	593	1
181	594	1
182	595	1
183	596	1
184	597	2
185	599	4
186	600	4
187	601	4
188	602	4
189	603	2
190	607	4
191	608	4
192	609	4
193	610	4
194	611	5
195	612	4
196	617	5
197	618	5
198	619	5
199	622	1
200	623	3
201	624	3
202	627	3
203	628	3
204	629	4
205	630	5
206	631	4
207	632	4
208	633	3
209	634	3
210	635	3
211	636	3
212	637	3
213	638	3
214	639	3
215	640	3
216	641	5
217	642	5
218	643	5
219	644	5
220	645	5
221	646	5
222	647	5
223	648	5
224	649	4
225	650	4
226	651	4
227	652	4
228	653	4
229	654	5
230	655	4
231	656	4
232	657	4
233	658	5
234	659	2
235	660	2
236	661	2
237	662	2
238	663	2
239	664	2
240	665	2
241	666	2
242	667	2
243	668	2
244	669	2
245	670	2
246	671	2
247	672	3
248	673	3
249	674	3
250	675	5
251	676	5
252	677	5
253	678	5
254	679	5
255	680	5
256	681	5
257	682	5
258	683	3
259	687	1
260	690	1
261	694	3
262	695	1
263	696	1
264	720	1
265	724	1
266	725	1
267	726	1
